Age,Gender,Marital Status,Occupation,Educational Qualifications,Family size,Pin code,Feedback
20,Female,Single,Student,Post Graduate,4,560001,Positive
24,Female,Single,Student,Graduate,3,560009,Positive
22,Male,Single,Student,Post Graduate,3,560017,Negative 
22,Female,Single,Student,Graduate,6,560019,Positive
22,Male,Single,Student,Post Graduate,4,560010,Positive
27,Female,Married,Employee,Post Graduate,2,560103,Positive
22,Male,Single,Student,Graduate,3,560009,Positive
24,Female,Single,Student,Post Graduate,3,560042,Positive
23,Female,Single,Student,Post Graduate,2,560001,Positive
23,Female,Single,Student,Post Graduate,4,560048,Positive
22,Female,Single,Student,Post Graduate,5,560010,Positive
23,Male,Single,Student,Post Graduate,2,560009,Negative 
23,Male,Single,Student,Post Graduate,5,560078,Positive
21,Male,Single,Student,Graduate,4,560009,Positive
23,Female,Single,Employee,Post Graduate,5,560004,Positive
24,Female,Single,Student,Post Graduate,6,560068,Positive
28,Female,Single,Employee,Post Graduate,2,560038,Positive
23,Female,Single,Student,Graduate,3,560008,Negative 
25,Male,Single,Student,Graduate,4,560078,Negative 
21,Female,Single,Student,Post Graduate,1,560038,Positive
24,Male,Single,Student,Post Graduate,3,560009,Positive
22,Male,Single,Student,Post Graduate,4,560032,Positive
22,Female,Single,Student,Graduate,4,560033,Positive
23,Male,Single,Student,Graduate,4,560021,Positive
21,Male,Single,Student,Post Graduate,3,560085,Positive
25,Male,Single,Student,Post Graduate,3,560008,Positive
22,Female,Single,Student,Post Graduate,5,560050,Positive
22,Male,Single,Student,Post Graduate,3,560098,Positive
23,Female,Single,Employee,Graduate,3,560048,Positive
22,Male,Single,Student,Post Graduate,4,560003,Positive
22,Female,Single,Employee,Graduate,5,560066,Positive
22,Male,Single,Student,Post Graduate,4,560038,Positive
25,Male,Married,Employee,Post Graduate,4,560034,Positive
22,Female,Single,Student,Post Graduate,5,560010,Positive
22,Female,Single,Student,Post Graduate,2,560102,Positive
25,Male,Single,Student,Post Graduate,3,560085,Positive
25,Male,Single,Student,Post Graduate,5,560009,Positive
32,Female,Prefer not to say,Student,Graduate,5,560008,Negative 
23,Female,Single,Student,Post Graduate,3,560004,Positive
23,Female,Single,Student,Post Graduate,4,560078,Positive
30,Male,Married,Employee,Uneducated,4,560025,Negative 
23,Male,Single,Student,Graduate,3,560026,Positive
23,Male,Single,Student,Post Graduate,4,560021,Positive
22,Female,Single,Student,Post Graduate,5,560010,Positive
22,Male,Single,Student,Graduate,5,560010,Positive
27,Female,Married,Employee,Post Graduate,2,560034,Positive
24,Female,Single,Student,Post Graduate,3,560009,Positive
23,Male,Single,Student,Post Graduate,2,560009,Positive
23,Female,Single,Student,Graduate,3,560008,Negative 
22,Female,Single,Student,Post Graduate,5,560010,Positive
